"","scenarios","Year","Biomass","relative"
"47","scen6",105,12239.5609106522,0.240883441336043
"48","scen7",105,12894.462898372,0.253772387736273
"49","",106,3499.11566063073,0.0688651356138114
"50","scen1",106,3499.11566063073,0.0688651356138114
"51","scen2",106,5171.75731781063,0.10178393731305
"52","scen3",106,6846.02718376967,0.134734783342702
"53","scen4",106,9074.57339171623,0.178594190037542
"54","scen5",106,14193.4867731287,0.279338120331855
"55","scen6",106,14906.9107218709,0.29337882139614
"56","scen7",106,15837.3805681357,0.31169114324035
"57","",107,3497.17874724315,0.068827015752668
"58","scen1",107,3497.17874724315,0.068827015752668
"59","scen2",107,5547.92486904875,0.109187187717428
"60","scen3",107,7626.0602015775,0.150086399226386
"61","scen4",107,10409.4042975646,0.204864630991239
"62","scen5",107,16260.9062018242,0.320026435076525
"63","scen6",107,17233.1557090578,0.339161010969347
"64","scen7",107,18496.9672514289,0.36403373930894
"65","",108,3495.31891138477,0.0687904128332367
"66","scen1",108,3495.31891138477,0.0687904128332367
"67","scen2",108,5943.51771524037,0.116972742024006
"68","scen3",108,8450.74909220208,0.166316875095203
"69","scen4",108,11808.7506880894,0.232404783504178
"70","scen5",108,18392.7528872164,0.361982724989767
"71","scen6",108,19598.6444057018,0.385715545225
"72","scen7",108,21166.9921305945,0.41658176664761
"73","",109,3493.53301036074,0.0687552650050023
"74","scen1",109,3493.53301036074,0.0687552650050023
"75","scen2",109,6354.69172982744,0.125064945032326
"76","scen3",109,9309.93649145438,0.18322630665041
"77","scen4",109,13247.1401123925,0.260713331256569
"78","scen5",109,20687.3681186273,0.407142418014646
"79","scen6",109,22081.065645064,0.434571396782782
"80","scen7",109,23896.7716632385,0.47030580893247
"81","",110,3491.81803541444,0.0687215130534505
"82","scen1",110,3491.81803541444,0.0687215130534505
"83","scen2",110,6764.6913236924,0.133134034588522
"84","scen3",110,10165.7004542614,0.200068362491884
"85","scen4",110,14655.8765589731,0.288438286887333
"86","scen5",110,22832.8127999415,0.449366326356104
"87","scen6",110,24398.1420144031,0.480173141302805
"88","scen7",110,26435.8871719578,0.52027744485592
"89","",111,3490.17110557612,0.0686891002790064
"90","scen1",111,3490.17110557612,0.0686891002790064
"91","scen2",111,7162.25115207129,0.140958300532044
"92","scen3",111,10988.433953174,0.216260354832722
"93","scen4",111,15979.4279716357,0.314486739229268
"94","scen5",111,24569.0183428445,0.48353611145658
"95","scen6",111,26315.5160538391,0.517908453894433
"96","scen7",111,28577.8495628315,0.562432819194308
"97","",112,3488.5894618277,0.0686579723821913
"98","scen1",112,3488.5894618277,0.0686579723821913
"99","scen2",112,7550.06655178011,0.148590789047516
"100","scen3",112,11772.0784754868,0.231683047746041
"101","scen4",112,17196.8018382916,0.338445540409581
"102","scen5",112,25989.6613591585,0.511495397020649
"103","scen6",112,27892.149075493,0.54893773597019
"104","scen7",112,30347.9381274185,0.597269446751446
"105","",113,3487.07046156436,0.0686280773546251
"106","scen1",113,3487.07046156436,0.0686280773546251
"107","scen2",113,7928.27836881532,0.156034272086365
"108","scen3",113,12511.7845830532,0.246241000769732
"109","scen4",113,18298.256271774,0.360122963018848
"110","scen5",113,27205.7906814788,0.535429704665234
"111","scen6",113,29218.3300163601,0.575037939335517
"112","scen7",113,31815.5454751595,0.626153024441413
"113","",114,3485.61157333592,0.0685993653755306
"114","scen1",114,3485.61157333592,0.0685993653755306
"115","scen2",114,8293.0215161605,0.163212681931099
"116","scen3",114,13200.2080792996,0.259789674785326
"117","scen4",114,19277.9663184012,0.379404367741273
"118","scen5",114,28230.1528656218,0.555589895859358
"119","scen6",114,30318.8961870541,0.596697880288472
"120","scen7",114,33016.0604017396,0.649780029445998
"121","",115,3484.21037185169,0.0685717887134273
"122","scen1",115,3484.21037185169,0.0685717887134273
"123","scen2",115,8639.33448841139,0.170028372554649
"124","scen3",115,13829.8412079142,0.272181311700002
"125","scen4",115,20133.574958827,0.396243366725562
"126","scen5",115,29040.8423203269,0.571544852669469
"127","scen6",115,31193.6497117672,0.613913664489549
"128","scen7",115,33969.7662631372,0.668549652931091
"129","",116,3482.86453323398,0.0685453016327155
"130","scen1",116,3482.86453323398,0.0685453016327155
"131","scen2",116,8965.83009781151,0.176454043095245
"132","scen3",116,14398.0759871638,0.28336458454056
"133","scen4",116,20869.1578071534,0.410720171015038
"134","scen5",116,29666.5836136012,0.583859895440229
"135","scen6",116,31873.8195454746,0.627299900436445
"136","scen7",116,34713.3953854643,0.683184813732322
"137","",117,3481.57183050591,0.0685198603048742
"138","scen1",117,3481.57183050591,0.0685198603048742
"139","scen2",117,9272.29676951134,0.182485529606302
"140","scen3",117,14905.5365827224,0.293351777340443
"141","scen4",117,21493.4673990596,0.423007036863843
"142","scen5",117,30152.2224621447,0.593417620422162
"143","scen6",117,32400.8641676054,0.63767252109198
"144","scen7",117,35288.277787221,0.694498916608199
"145","",118,3480.33012930041,0.0684954227240103
"146","scen1",118,3480.33012930041,0.0684954227240103
"147","scen2",118,9558.46928545848,0.188117612404072
"148","scen3",118,15354.7424251621,0.302192474321734
"149","scen4",118,22017.936650556,0.43332897235627
"150","scen5",118,30531.5510642152,0.600883082600989
"151","scen6",118,32809.2751607204,0.645710345832524
"152","scen7",118,35730.6601342979,0.703205322248736
"153","",119,3479.13738377795,0.0684719486265173
"154","scen1",119,3479.13738377795,0.0684719486265173
"155","scen2",119,9823.68706267818,0.193337290736207
"156","scen3",119,15748.9824300703,0.309951403730058
"157","scen4",119,22454.7436067879,0.441925650258751
"158","scen5",119,30824.4501943913,0.606647550048489
"159","scen6",119,33123.5220552993,0.651894952776179
"160","scen7",119,36069.1413022557,0.709866877280025
"161","",120,3477.99163274172,0.0684493994146187
"162","scen1",120,3477.99163274172,0.0684493994146187
"163","scen2",120,10067.9448032936,0.198144460336645
"164","scen3",120,16092.3539222077,0.316709203890255
"165","scen4",120,22815.9207187349,0.449033877938871
"166","scen5",120,31047.9776166357,0.611046731938776
"167","scen6",120,33363.5846286278,0.656619558439854
"168","scen7",120,36326.8368910093,0.71493851348407
"169","",121,3476.89099593925,0.068427738083581
"170","scen1",121,3476.89099593925,0.068427738083581
"171","scen2",121,10291.7953477865,0.202550001507283
"172","scen3",121,16389.450003263,0.322556270376911
"173","scen4",121,23112.7488121222,0.454875670233733
"174","scen5",121,31217.7988396218,0.61438893685147
"175","scen6",121,33546.1789047967,0.66021314630897
"176","scen7",121,36522.2832259751,0.718785039197432
"177","",122,3475.83367054039,0.0684069291523989
"178","scen1",122,3475.83367054039,0.0684069291523989
"179","scen2",122,10496.1154337623,0.206571169080466
"180","scen3",122,16645.1014936351,0.327587677241346
"181","scen4",122,23355.4768085902,0.45965273335917
"182","scen5",122,31346.9792457277,0.616931300993707
"183","scen6",122,33684.8652457558,0.662942594147859
"184","scen7",122,36670.1592802526,0.721695347263675
"185","",123,3474.81792778222,0.0683869385977634
"186","scen1",123,3474.81792778222,0.0683869385977634
"187","scen2",123,10681.8179405493,0.210225929183882
"188","scen3",123,16864.0567722875,0.3318968760276
"189","scen4",123,23553.1565593772,0.463543214316748
"190","scen5",123,31445.1899268958,0.618864158473516
"191","scen6",123,33790.0727527832,0.665013154238384
"192","scen7",123,36781.844685598,0.723893397094303
"193","",124,3473.8421097719,0.06836773379114
"194","scen1",124,3473.8421097719,0.06836773379114
"195","scen2",124,10849.9256113356,0.213534410145708
"196","scen3",124,17050.8316743959,0.335572741649211
"197","scen4",124,23713.6202583974,0.466701256366759
"198","scen5",124,31519.687690592,0.620330328528306
"199","scen6",124,33869.7784580096,0.666581820362047
"200","scen7",124,36866.0878829386,0.725551364355768
"201","",125,3472.9046264391,0.0683492834387909
"202","scen1",125,3472.9046264391,0.0683492834387909
"203","scen2",125,11001.5655795186,0.216518794769198
"204","scen3",125,17209.6057956601,0.338697531582806
"205","scen4",125,23843.5279788827,0.469257934583816
"206","scen5",125,31576.071488052,0.621440002581722
"207","scen6",125,33930.0851250385,0.667768699335524
"208","scen7",125,36929.565866096,0.726800657132171
"209","",126,3472.00395263029,0.0683315575245877
"210","scen1",126,3472.00395263029,0.0683315575245877
"211","scen2",126,11137.9426462589,0.219202794415551
"212","scen3",126,17344.1832892612,0.341346114323777
"213","scen4",126,23948.4722476937,0.471323313955204
"214","scen5",126,31618.718667276,0.622279330019181
"215","scen6",126,33975.6777094775,0.668665994485181
"216","scen7",126,36977.3601920971,0.72774128415364
"217","",127,3471.13862533733,0.0683145272554684
"218","scen1",127,3471.13862533733,0.0683145272554684
"219","scen2",127,11260.2601800009,0.221610092249076
"220","scen3",127,17457.970144009,0.343585522203727
"221","scen4",127,24033.1022969889,0.472988894743885
"222","scen5",127,31650.9728758911,0.622914116252566
"223","scen6",127,34010.1290825301,0.669344022509245
"224","scen7",127,37013.3247404559,0.728449092565885
"225","",128,3470.30724105349,0.0682981650094021
"226","scen1",128,3470.30724105349,0.0682981650094021
"227","scen2",128,11369.696189449,0.22376387233599
"228","scen3",128,17553.9789839305,0.345475045849861
"229","scen4",128,24101.2543634857,0.474330176872529
"230","scen5",128,31675.3623306892,0.623394118423148
"231","scen6",128,34036.1535511128,0.669856202937686
"232","scen7",128,37040.376242574,0.728981485759653
"233","",129,3469.50845325045,0.0682824442857341
"234","scen1",129,3469.50845325045,0.0682824442857341
"235","scen2",129,11467.3872039504,0.225686502398662
"236","scen3",129,17634.8458632918,0.347066564723199
"237","scen4",129,24156.0745896106,0.47540907870734
"238","scen5",129,31693.7956948807,0.623756900408078
"239","scen6",129,34055.8066224427,0.670242989644277
"240","scen7",129,37060.7172802467,0.72938181214315
"241","",130,3468.74096996997,0.0682673396577888
"242","scen1",130,3468.74096996997,0.0682673396577888
"243","scen2",130,11554.4223624311,0.227399417481571
"244","scen3",130,17702.8588663962,0.348405109983357
"245","scen4",130,24200.1308258618,0.476276137409687
"246","scen5",130,31707.7226383005,0.62403099276178
"247","scen6",130,34070.6447611407,0.670535014982335
"248","scen7",130,37076.0089861445,0.729682764012865
