"","scenarios","Year","Yield","relative"
"69","scen2",106,717.512060791263,0.126825969493438
"70","scen2",107,752.561833629177,0.133021295904803
"71","scen2",108,796.797232780178,0.140840254901908
"72","scen2",109,848.823837329531,0.150036371485853
"73","scen2",110,906.828767743007,0.160289204765026
"74","scen2",111,970.509167998703,0.17154522252625
"75","scen2",112,1040.01025682874,0.183830093336642
"76","scen2",113,1114.36016034719,0.196972030748916
"77","scen2",114,1192.51803397193,0.210787057196099
"78","scen2",115,1274.0474042072,0.225198022512661
"79","scen2",116,1358.53123706132,0.240131212620195
"80","scen2",117,1445.3880388443,0.255483843879213
"81","scen2",118,1534.10522070696,0.271165312129445
"82","scen2",119,1624.25382156997,0.287099795084785
"83","scen2",120,1715.35186919764,0.303202100315163
"84","scen2",121,1806.88350122495,0.319381045040326
"85","scen2",122,1898.36990560421,0.3355519954186
"86","scen2",123,1989.36339023314,0.351635818306432
"87","scen2",124,2079.42396779716,0.367554742442843
"88","scen2",125,2168.13544546847,0.38323520243184
"89","scen2",126,2255.12374584657,0.398611077114522
"90","scen2",127,2340.05534208463,0.413623412965209
"91","scen2",128,2422.63612529454,0.428220223896268
"92","scen2",129,2502.61625218519,0.44235734811677
"93","scen2",130,2579.79178721968,0.455998738396858
"94","scen3",100,751.415435008599,0.132818660821122
"95","scen3",101,598.337671806009,0.105760947387503
"96","scen3",102,595.621163466881,0.105280782910035
"97","scen3",103,592.967435997217,0.104811715451099
"98","scen3",104,605.711878025426,0.107064397049368
"99","scen3",105,638.424586523183,0.112846628731172
"100","scen3",106,686.286944703509,0.121306681614141
"101","scen3",107,748.114592441811,0.132235210616513
"102","scen3",108,825.668516066371,0.145943484092583
"103","scen3",109,916.900913842629,0.162069536781404
"104","scen3",110,1018.93659678451,0.180105156137766
"105","scen3",111,1131.51973326385,0.200005121884484
"106","scen3",112,1254.92197474617,0.221817450580952
"107","scen3",113,1387.30675261042,0.245217514100847
"108","scen3",114,1526.52467269284,0.269825389912499
"109","scen3",115,1671.35172124329,0.29542472384011
"110","scen3",116,1820.46716332904,0.321782065468782
"111","scen3",117,1972.13865407693,0.348591209049454
"112","scen3",118,2124.69988709584,0.375557621660552
"113","scen3",119,2276.66350769574,0.402418401518471
"114","scen3",120,2426.54383881152,0.42891094337316
"115","scen3",121,2572.92252001947,0.454784540726904
"116","scen3",122,2714.60219308962,0.479827550979331
"117","scen3",123,2850.62007859182,0.50386979520062
"118","scen3",124,2980.20805166228,0.526775501205374
"119","scen3",125,3102.80083216658,0.548444751229142
"120","scen3",126,3218.04472715876,0.56881502722766
"121","scen3",127,3325.77100453484,0.587856504458123
"122","scen3",128,3425.96369760163,0.605566360680389
"123","scen3",129,3518.7354826299,0.621964512322427
"124","scen3",130,3604.30273287787,0.63708920508037
"125","scen4",100,751.415435008599,0.132818660821122
"126","scen4",101,498.603528484311,0.0881321434836038
"127","scen4",102,496.339816838514,0.0877320144267972
"128","scen4",103,494.128421585804,0.0873411327090058
"129","scen4",104,512.534402232051,0.0905945363345329
"130","scen4",105,557.400252173521,0.0985249325284297
"131","scen4",106,621.924247788594,0.109930062486033
"132","scen4",107,704.603046359537,0.124544198412541
"133","scen4",108,808.044702415552,0.142828334711021
"134","scen4",109,929.796804088165,0.164348988057899
"135","scen4",110,1066.0284101256,0.188429009085409
"136","scen4",111,1216.24158920209,0.214980384467251
"137","scen4",112,1380.16303789095,0.243954805646747
"138","scen4",113,1554.47825801907,0.274766408682144
"139","scen4",114,1735.26893041576,0.306722599462818
"140","scen4",115,1919.7598257812,0.339332834113971
"141","scen4",116,2105.12068460843,0.372096841733543
"142","scen4",117,2288.18223747938,0.404454428718532
"143","scen4",118,2466.14431033784,0.435910642009841
"144","scen4",119,2636.79874565368,0.46607517218292
"145","scen4",120,2798.35446309265,0.494631431528317
"146","scen4",121,2949.47448002363,0.521343097721078
"147","scen4",122,3089.37715341495,0.546072009132003
"148","scen4",123,3217.76787688678,0.568766091737837
"149","scen4",124,3334.70693240101,0.589436000855301
"150","scen4",125,3440.52994890466,0.608141061573018
"151","scen4",126,3535.78609194668,0.624978343274161
"152","scen4",127,3621.16154034439,0.640069133527966
"153","scen4",128,3697.41361199503,0.65354729430245
"154","scen4",129,3765.32667621901,0.665551469120052
"155","scen4",130,3825.68037204992,0.676219465387356
"156","scen5",100,751.415435008599,0.132818660821122
"157","scen5",101,521.214391822014,0.0921287936036386
"158","scen5",102,643.925215758937,0.11381890874397
"159","scen5",103,735.18556520561,0.129949902113085
"160","scen5",104,789.878407919493,0.139617297520893
"161","scen5",105,893.864476107376,0.157997662998228
"162","scen5",106,1023.85958826725,0.180975334078631
"163","scen5",107,1151.50886405858,0.203538359903615
"164","scen5",108,1296.27046788642,0.229126125955443
"165","scen5",109,1468.56426036517,0.25958042555944
"166","scen5",110,1653.84148013728,0.292329649310094
"167","scen5",111,1848.68180110678,0.326769227337702
"168","scen5",112,2058.97819257428,0.363940788885286
"169","scen5",113,2282.25700888783,0.403407097388986
"170","scen5",114,2511.93618581636,0.444004720590319
"171","scen5",115,2745.70986778275,0.485326080157072
"172","scen5",116,2982.20158866979,0.527127874743764
"173","scen5",117,3217.70457959966,0.568754903438373
"174","scen5",118,3448.71231713289,0.609587360304434
"175","scen5",119,3673.01556054111,0.649234744453486
"176","scen5",120,3888.60851436317,0.687342515567862
"177","scen5",121,4093.53994202295,0.723565777047207
"178","scen5",122,4286.46842365908,0.757667422250796
"179","scen5",123,4466.65351613396,0.789516571958733
"180","scen5",124,4633.69656781283,0.819042761320557
"181","scen5",125,4787.51023329785,0.846230551341765
"182","scen5",126,4928.33459290589,0.871122378129856
"183","scen5",127,5056.6493774162,0.893803037919622
"184","scen5",128,5173.08098761416,0.914383252037214
"185","scen5",129,5278.35871883901,0.932991929240406
"186","scen5",130,5373.27804647003,0.949769676135968
"187","scen6",100,751.415435008599,0.132818660821122
"188","scen6",101,463.295924814392,0.0818912434198623
"189","scen6",102,572.370852696142,0.101171105365004
"190","scen6",103,653.490150475682,0.115509587110066
"191","scen6",104,702.105401822075,0.124102719854586
"192","scen6",105,804.265059796396,0.142160252785005
"193","scen6",106,938.548074578536,0.165895844793682
"194","scen6",107,1077.2983972081,0.190421069032583
"195","scen6",108,1238.98503888266,0.219000470279024
"196","scen6",109,1434.27959280761,0.253520337598058
"197","scen6",110,1648.68288161246,0.291417825948664
"198","scen6",111,1877.3472531719,0.331836074221246
"199","scen6",112,2125.29594562888,0.375662979752017
"200","scen6",113,2389.3538439822,0.422337315684612
"201","scen6",114,2660.85986673467,0.470328166905866
"202","scen6",115,2935.19004001506,0.518818209218494
"203","scen6",116,3209.54160187844,0.567312032133456
"204","scen6",117,3478.98444097746,0.614938199217134
"205","scen6",118,3738.81958896842,0.660866130402127
"206","scen6",119,3986.09219738832,0.704573532696441
"207","scen6",120,4218.63567276264,0.745677443453282
"208","scen6",121,4434.6970422979,0.783868010774437
"209","scen6",122,4633.36089426871,0.818983428349039
"210","scen6",123,4814.53398636078,0.851007214855654
"211","scen6",124,4978.60358760381,0.880007823178673
"212","scen6",125,5126.28192125186,0.906111144448889
"213","scen6",126,5258.55995391863,0.929492339905237
"214","scen6",127,5376.60063240075,0.95035696965327
"215","scen6",128,5481.62360695032,0.968920616585762
"216","scen6",129,5574.84680109429,0.985398558383069
"217","scen6",130,5657.4537821955,1
"218","scen7",100,751.415435008599,0.132818660821122
"219","scen7",101,386.071269015794,0.0682411706536241
"220","scen7",102,476.964994598162,0.0843073603357066
"221","scen7",103,544.562884601756,0.0962558256004746
"222","scen7",104,585.074677556674,0.103416607555497
"223","scen7",105,680.442669136796,0.120273659376274
"224","scen7",106,811.855961363577,0.14350200507489
"225","scen7",107,953.4841313226,0.168535911742363
"226","scen7",108,1121.69108292088,0.19826782968178
"227","scen7",109,1326.65347426614,0.234496564239063
"228","scen7",110,1554.54545261614,0.274778285862172
"229","scen7",111,1799.03395918053,0.317993575986824
"230","scen7",112,2063.46522032985,0.364733906766283
"231","scen7",113,2343.46579560569,0.414226237778695
"232","scen7",114,2628.58788829628,0.464623837771097
"233","scen7",115,2912.10943658176,0.514738528796544
"234","scen7",116,3189.9768638235,0.563853808910049
"235","scen7",117,3456.79551208287,0.611016129369312
"236","scen7",118,3707.80842215016,0.655384659759653
"237","scen7",119,3940.3909114066,0.696495466530783
"238","scen7",120,4153.19986619984,0.734111143650934
"239","scen7",121,4345.60077240703,0.768119535696962
"240","scen7",122,4517.82400876826,0.798561363945427
"241","scen7",123,4670.85693123316,0.825611151421643
"242","scen7",124,4806.06322220851,0.849509939848489
"243","scen7",125,4924.96550843542,0.870526865625436
"244","scen7",126,5029.17037185411,0.888945904901839
"245","scen7",127,5120.28278673521,0.905050749658651
"246","scen7",128,5199.82083245309,0.919109732512067
"247","scen7",129,5269.18061146066,0.931369625686245
"248","scen7",130,5329.62842046481,0.942054257206239
