"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"101","MNI Fishery","Hemiramphus brasiliensis","BAU",1,"no_CS","no_illegal_fishing",2,2043497.7855515,0
"102","MNI Fishery","Hemiramphus brasiliensis","30& MPA",1,"no_CS","no_illegal_fishing",2,2111084.11494282,0
"103","MNI Fishery","Hemiramphus brasiliensis","BAU",1,"CS","no_illegal_fishing",2,2043497.7855515,0
"104","MNI Fishery","Hemiramphus brasiliensis","30& MPA",1,"CS","no_illegal_fishing",2,2111084.11494282,0
"105","MNI Fishery","Lutjanus campechanus","BAU",1,"no_CS","illegal_fishing",2,404848.648779665,0
"106","MNI Fishery","Lutjanus campechanus","30& MPA",1,"no_CS","illegal_fishing",2,364979.997061787,0
"107","MNI Fishery","Lutjanus campechanus","BAU",1,"CS","illegal_fishing",2,404848.648779665,0
"108","MNI Fishery","Lutjanus campechanus","30& MPA",1,"CS","illegal_fishing",2,364979.997061787,0
"109","MNI Fishery","Lutjanus campechanus","BAU",1,"no_CS","no_illegal_fishing",2,404848.648779665,0
"110","MNI Fishery","Lutjanus campechanus","30& MPA",1,"no_CS","no_illegal_fishing",2,364979.997061787,0
"111","MNI Fishery","Lutjanus campechanus","BAU",1,"CS","no_illegal_fishing",2,404848.648779665,0
"112","MNI Fishery","Lutjanus campechanus","30& MPA",1,"CS","no_illegal_fishing",2,364979.997061787,0
"113","MNI Fishery","Rhomboplites aurorubens","BAU",1,"no_CS","illegal_fishing",2,207858.484056581,0
"114","MNI Fishery","Rhomboplites aurorubens","30& MPA",1,"no_CS","illegal_fishing",2,154148.989295102,0
"115","MNI Fishery","Rhomboplites aurorubens","BAU",1,"CS","illegal_fishing",2,207858.484056581,0
"116","MNI Fishery","Rhomboplites aurorubens","30& MPA",1,"CS","illegal_fishing",2,154148.989295102,0
"117","MNI Fishery","Rhomboplites aurorubens","BAU",1,"no_CS","no_illegal_fishing",2,207858.484056581,0
"118","MNI Fishery","Rhomboplites aurorubens","30& MPA",1,"no_CS","no_illegal_fishing",2,154148.989295102,0
"119","MNI Fishery","Rhomboplites aurorubens","BAU",1,"CS","no_illegal_fishing",2,207858.484056581,0
"120","MNI Fishery","Rhomboplites aurorubens","30& MPA",1,"CS","no_illegal_fishing",2,154148.989295102,0
