"","species","management","time","biomass","harvest1","profit1","BvBMSY","FvFMSY1","FvFMSYtotal"
"2899","Panulirus argus","BAU",10,1001.41306608178,100.863736607908,1008.63736607908,0.449957406437709,2.56247142940662,2.56247142940662
"2900","Panulirus argus","30% MPA",10,1246.44876572816,87.8808545463627,878.808545463627,0.560057455690043,1.79373000058463,1.79373000058463
"2901","Panulirus argus","BAU",11,969.099777704991,97.6090966215094,976.090966215094,0.435438319435597,2.56247142940662,2.56247142940662
"2902","Panulirus argus","30% MPA",11,1234.47049362322,87.0363266223,870.363266223,0.554675348712918,1.79373000058463,1.79373000058463
"2903","Panulirus argus","BAU",12,938.901078659261,94.5674410553723,945.674410553723,0.421869364964515,2.56247142940662,2.56247142940662
"2904","Panulirus argus","30% MPA",12,1223.02712163365,86.2295118241419,862.295118241419,0.549533584384361,1.79373000058463,1.79373000058463
"2905","Panulirus argus","BAU",13,910.639707640738,91.7209159009284,917.209159009284,0.409170895535088,2.56247142940662,2.56247142940662
"2906","Panulirus argus","30% MPA",13,1212.0902262868,85.458406155307,854.58406155307,0.544619391399039,1.79373000058463,1.79373000058463
"2907","Panulirus argus","BAU",14,884.156463829452,89.0534862270216,890.534862270216,0.397271378639419,2.56247142940662,2.56247142940662
"2908","Panulirus argus","30% MPA",14,1201.63321632605,84.7211347995814,847.211347995814,0.539920821707469,1.79373000058463,1.79373000058463
"2909","Panulirus argus","BAU",15,859.308062097847,86.5507201534866,865.507201534866,0.386106433048064,2.56247142940662,2.56247142940662
"2910","Panulirus argus","30% MPA",15,1191.63119175458,84.0159421830035,840.159421830036,0.535426687181233,1.79373000058463,1.79373000058463
"2911","Panulirus argus","BAU",16,835.965276930207,84.1996019040952,841.996019040953,0.375617994831295,2.56247142940662,2.56247142940662
"2912","Panulirus argus","30% MPA",16,1182.06081543085,83.3411829207019,833.411829207019,0.531126501917915,1.79373000058463,1.79373000058463
"2913","Panulirus argus","BAU",17,814.01133184067,81.9883695864667,819.883695864667,0.365753593688403,2.56247142940662,2.56247142940662
"2914","Panulirus argus","30% MPA",17,1172.90019595496,82.6953135598017,826.953135598017,0.527010429619335,1.79373000058463,1.79373000058463
"2915","Panulirus argus","BAU",18,793.340498167505,79.9063740606506,799.063740606507,0.356465723354462,2.56247142940662,2.56247142940662
"2916","Panulirus argus","30% MPA",18,1164.12878072564,82.0768850394099,820.768850394099,0.523069235539638,1.79373000058463,1.79373000058463
"2917","Panulirus argus","BAU",19,773.856872950077,77.9439558451714,779.439558451714,0.347711292472967,2.56247142940662,2.56247142940662
"2918","Panulirus argus","30% MPA",19,1155.72725817075,81.484535797375,814.845357973751,0.519294242555257,1.79373000058463,1.79373000058463
"2919","Panulirus argus","BAU",20,755.473310403537,76.092337493651,760.923374936511,0.339451144483395,2.56247142940662,2.56247142940662
"2920","Panulirus argus","30% MPA",20,1147.67746826246,80.9169854611636,809.169854611636,0.515677290957376,1.79373000058463,1.79373000058463
"2921","Panulirus argus","BAU",21,738.110485486727,74.3435292760485,743.435292760485,0.331649636861203,2.56247142940662,2.56247142940662
"2922","Panulirus argus","30% MPA",21,1139.96232052399,80.3730290669252,803.730290669253,0.512210701610515,1.79373000058463,1.79373000058463
"2923","Panulirus argus","BAU",22,721.696071364479,72.6902463315015,726.902463315015,0.324274271533148,2.56247142940662,2.56247142940662
"2924","Panulirus argus","30% MPA",22,1132.56571881886,79.8515317567602,798.515317567602,0.508887242158648,1.79373000058463,1.79373000058463
"2925","Panulirus argus","BAU",23,706.164015319423,71.1258357371426,711.258357371426,0.31729536952818,2.56247142940662,2.56247142940662
"2926","Panulirus argus","30% MPA",23,1125.47249228815,79.3514239094511,793.514239094511,0.50570009599376,1.79373000058463,1.79373000058463
"2927","Panulirus argus","BAU",24,691.453899969766,69.6442121690529,696.442121690529,0.310685783958233,2.56247142940662,2.56247142940662
"2928","Panulirus argus","30% MPA",24,1118.66833186711,78.8716966645676,788.716966645676,0.50264283373133,1.79373000058463,1.79373000058463
"2929","Panulirus argus","BAU",25,677.510378578264,68.2398010257851,682.398010257851,0.30442064628984,2.56247142940662,2.56247142940662
"2930","Panulirus argus","30% MPA",25,1112.13973187088,78.4113978039682,784.113978039682,0.499709386963487,1.79373000058463,1.79373000058463
"2931","Panulirus argus","BAU",26,664.282674858778,66.9074880481744,669.074880481744,0.298477141595984,2.56247142940662,2.56247142940662
"2932","Panulirus argus","30% MPA",26,1105.87393619087,77.9696279583777,779.696279583777,0.496894024083834,1.79373000058463,1.79373000058463
"2933","Panulirus argus","BAU",27,651.724139053198,65.6425746067798,656.425746067798,0.292834309091467,2.56247142940662,2.56247142940662
"2934","Panulirus argus","30% MPA",27,1099.85888868947,77.5455371099652,775.455371099652,0.49419132799867,1.79373000058463,1.79373000058463
"2935","Panulirus argus","BAU",28,639.791853206262,64.4407379446074,644.407379446074,0.287472864774021,2.56247142940662,2.56247142940662
