"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","recTime"
"96","MNI Fishery","Epinephelus striatus","30% MPA",1,"CS","no_illegal_fishing",2,NA
"97","MNI Fishery","Hemiramphus brasiliensis","BAU",1,"no_CS","illegal_fishing",2,NA
"98","MNI Fishery","Hemiramphus brasiliensis","30% MPA",1,"no_CS","illegal_fishing",2,NA
"99","MNI Fishery","Hemiramphus brasiliensis","BAU",1,"CS","illegal_fishing",2,NA
"100","MNI Fishery","Hemiramphus brasiliensis","30% MPA",1,"CS","illegal_fishing",2,NA
"101","MNI Fishery","Hemiramphus brasiliensis","BAU",1,"no_CS","no_illegal_fishing",2,NA
"102","MNI Fishery","Hemiramphus brasiliensis","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"103","MNI Fishery","Hemiramphus brasiliensis","BAU",1,"CS","no_illegal_fishing",2,NA
"104","MNI Fishery","Hemiramphus brasiliensis","30% MPA",1,"CS","no_illegal_fishing",2,NA
"105","MNI Fishery","Lutjanus campechanus","BAU",1,"no_CS","illegal_fishing",2,NA
"106","MNI Fishery","Lutjanus campechanus","30% MPA",1,"no_CS","illegal_fishing",2,NA
"107","MNI Fishery","Lutjanus campechanus","BAU",1,"CS","illegal_fishing",2,NA
"108","MNI Fishery","Lutjanus campechanus","30% MPA",1,"CS","illegal_fishing",2,NA
"109","MNI Fishery","Lutjanus campechanus","BAU",1,"no_CS","no_illegal_fishing",2,NA
"110","MNI Fishery","Lutjanus campechanus","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"111","MNI Fishery","Lutjanus campechanus","BAU",1,"CS","no_illegal_fishing",2,NA
"112","MNI Fishery","Lutjanus campechanus","30% MPA",1,"CS","no_illegal_fishing",2,NA
"113","MNI Fishery","Rhomboplites aurorubens","BAU",1,"no_CS","illegal_fishing",2,12
"114","MNI Fishery","Rhomboplites aurorubens","30% MPA",1,"no_CS","illegal_fishing",2,11
"115","MNI Fishery","Rhomboplites aurorubens","BAU",1,"CS","illegal_fishing",2,12
"116","MNI Fishery","Rhomboplites aurorubens","30% MPA",1,"CS","illegal_fishing",2,11
"117","MNI Fishery","Rhomboplites aurorubens","BAU",1,"no_CS","no_illegal_fishing",2,12
"118","MNI Fishery","Rhomboplites aurorubens","30% MPA",1,"no_CS","no_illegal_fishing",2,11
"119","MNI Fishery","Rhomboplites aurorubens","BAU",1,"CS","no_illegal_fishing",2,12
"120","MNI Fishery","Rhomboplites aurorubens","30% MPA",1,"CS","no_illegal_fishing",2,11
"121","MNI Fishery","Scomberomorus regalis","BAU",1,"no_CS","illegal_fishing",2,18
"122","MNI Fishery","Scomberomorus regalis","30% MPA",1,"no_CS","illegal_fishing",2,17
"123","MNI Fishery","Scomberomorus regalis","BAU",1,"CS","illegal_fishing",2,18
"124","MNI Fishery","Scomberomorus regalis","30% MPA",1,"CS","illegal_fishing",2,17
"125","MNI Fishery","Scomberomorus regalis","BAU",1,"no_CS","no_illegal_fishing",2,18
"126","MNI Fishery","Scomberomorus regalis","30% MPA",1,"no_CS","no_illegal_fishing",2,17
"127","MNI Fishery","Scomberomorus regalis","BAU",1,"CS","no_illegal_fishing",2,18
"128","MNI Fishery","Scomberomorus regalis","30% MPA",1,"CS","no_illegal_fishing",2,17
"129","MNI Fishery","Acanthostracion polygonius","BAU",1,"no_CS","illegal_fishing",2,15
"130","MNI Fishery","Acanthostracion polygonius","30% MPA",1,"no_CS","illegal_fishing",2,9
"131","MNI Fishery","Acanthostracion polygonius","BAU",1,"CS","illegal_fishing",2,15
"132","MNI Fishery","Acanthostracion polygonius","30% MPA",1,"CS","illegal_fishing",2,9
"133","MNI Fishery","Acanthostracion polygonius","BAU",1,"no_CS","no_illegal_fishing",2,15
"134","MNI Fishery","Acanthostracion polygonius","30% MPA",1,"no_CS","no_illegal_fishing",2,9
"135","MNI Fishery","Acanthostracion polygonius","BAU",1,"CS","no_illegal_fishing",2,15
"136","MNI Fishery","Acanthostracion polygonius","30% MPA",1,"CS","no_illegal_fishing",2,9
"137","MNI Fishery","Acanthurus chirurgus","BAU",1,"no_CS","illegal_fishing",2,NA
"138","MNI Fishery","Acanthurus chirurgus","30% MPA",1,"no_CS","illegal_fishing",2,NA
"139","MNI Fishery","Acanthurus chirurgus","BAU",1,"CS","illegal_fishing",2,NA
"140","MNI Fishery","Acanthurus chirurgus","30% MPA",1,"CS","illegal_fishing",2,NA
"141","MNI Fishery","Acanthurus chirurgus","BAU",1,"no_CS","no_illegal_fishing",2,NA
"142","MNI Fishery","Acanthurus chirurgus","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"143","MNI Fishery","Acanthurus chirurgus","BAU",1,"CS","no_illegal_fishing",2,NA
"144","MNI Fishery","Acanthurus chirurgus","30% MPA",1,"CS","no_illegal_fishing",2,NA
"145","MNI Fishery","Acanthurus coeruleus","BAU",1,"no_CS","illegal_fishing",2,NA
"146","MNI Fishery","Acanthurus coeruleus","30% MPA",1,"no_CS","illegal_fishing",2,NA
"147","MNI Fishery","Acanthurus coeruleus","BAU",1,"CS","illegal_fishing",2,NA
"148","MNI Fishery","Acanthurus coeruleus","30% MPA",1,"CS","illegal_fishing",2,NA
"149","MNI Fishery","Acanthurus coeruleus","BAU",1,"no_CS","no_illegal_fishing",2,NA
"150","MNI Fishery","Acanthurus coeruleus","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"151","MNI Fishery","Acanthurus coeruleus","BAU",1,"CS","no_illegal_fishing",2,NA
"152","MNI Fishery","Acanthurus coeruleus","30% MPA",1,"CS","no_illegal_fishing",2,NA
"153","MNI Fishery","Aluterus scriptus","BAU",1,"no_CS","illegal_fishing",2,NA
"154","MNI Fishery","Aluterus scriptus","30% MPA",1,"no_CS","illegal_fishing",2,NA
"155","MNI Fishery","Aluterus scriptus","BAU",1,"CS","illegal_fishing",2,NA
"156","MNI Fishery","Aluterus scriptus","30% MPA",1,"CS","illegal_fishing",2,NA
"157","MNI Fishery","Aluterus scriptus","BAU",1,"no_CS","no_illegal_fishing",2,NA
"158","MNI Fishery","Aluterus scriptus","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"159","MNI Fishery","Aluterus scriptus","BAU",1,"CS","no_illegal_fishing",2,NA
"160","MNI Fishery","Aluterus scriptus","30% MPA",1,"CS","no_illegal_fishing",2,NA
"161","MNI Fishery","Anisotremus surinamensis","BAU",1,"no_CS","illegal_fishing",2,NA
"162","MNI Fishery","Anisotremus surinamensis","30% MPA",1,"no_CS","illegal_fishing",2,NA
"163","MNI Fishery","Anisotremus surinamensis","BAU",1,"CS","illegal_fishing",2,NA
"164","MNI Fishery","Anisotremus surinamensis","30% MPA",1,"CS","illegal_fishing",2,NA
"165","MNI Fishery","Anisotremus surinamensis","BAU",1,"no_CS","no_illegal_fishing",2,NA
"166","MNI Fishery","Anisotremus surinamensis","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"167","MNI Fishery","Anisotremus surinamensis","BAU",1,"CS","no_illegal_fishing",2,NA
"168","MNI Fishery","Anisotremus surinamensis","30% MPA",1,"CS","no_illegal_fishing",2,NA
"169","MNI Fishery","Archosargus rhomboidalis","BAU",1,"no_CS","illegal_fishing",2,12
"170","MNI Fishery","Archosargus rhomboidalis","30% MPA",1,"no_CS","illegal_fishing",2,8
"171","MNI Fishery","Archosargus rhomboidalis","BAU",1,"CS","illegal_fishing",2,12
"172","MNI Fishery","Archosargus rhomboidalis","30% MPA",1,"CS","illegal_fishing",2,8
"173","MNI Fishery","Archosargus rhomboidalis","BAU",1,"no_CS","no_illegal_fishing",2,12
"174","MNI Fishery","Archosargus rhomboidalis","30% MPA",1,"no_CS","no_illegal_fishing",2,8
"175","MNI Fishery","Archosargus rhomboidalis","BAU",1,"CS","no_illegal_fishing",2,12
"176","MNI Fishery","Archosargus rhomboidalis","30% MPA",1,"CS","no_illegal_fishing",2,8
"177","MNI Fishery","Balistes vetula","BAU",1,"no_CS","illegal_fishing",2,NA
"178","MNI Fishery","Balistes vetula","30% MPA",1,"no_CS","illegal_fishing",2,25
"179","MNI Fishery","Balistes vetula","BAU",1,"CS","illegal_fishing",2,NA
"180","MNI Fishery","Balistes vetula","30% MPA",1,"CS","illegal_fishing",2,25
"181","MNI Fishery","Balistes vetula","BAU",1,"no_CS","no_illegal_fishing",2,NA
"182","MNI Fishery","Balistes vetula","30% MPA",1,"no_CS","no_illegal_fishing",2,25
"183","MNI Fishery","Balistes vetula","BAU",1,"CS","no_illegal_fishing",2,NA
"184","MNI Fishery","Balistes vetula","30% MPA",1,"CS","no_illegal_fishing",2,25
"185","MNI Fishery","Bodianus rufus","BAU",1,"no_CS","illegal_fishing",2,NA
"186","MNI Fishery","Bodianus rufus","30% MPA",1,"no_CS","illegal_fishing",2,NA
"187","MNI Fishery","Bodianus rufus","BAU",1,"CS","illegal_fishing",2,NA
"188","MNI Fishery","Bodianus rufus","30% MPA",1,"CS","illegal_fishing",2,NA
"189","MNI Fishery","Bodianus rufus","BAU",1,"no_CS","no_illegal_fishing",2,NA
"190","MNI Fishery","Bodianus rufus","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"191","MNI Fishery","Bodianus rufus","BAU",1,"CS","no_illegal_fishing",2,NA
"192","MNI Fishery","Bodianus rufus","30% MPA",1,"CS","no_illegal_fishing",2,NA
"193","MNI Fishery","Calamus bajonado","BAU",1,"no_CS","illegal_fishing",2,NA
"194","MNI Fishery","Calamus bajonado","30% MPA",1,"no_CS","illegal_fishing",2,2
"195","MNI Fishery","Calamus bajonado","BAU",1,"CS","illegal_fishing",2,NA
"196","MNI Fishery","Calamus bajonado","30% MPA",1,"CS","illegal_fishing",2,2
"197","MNI Fishery","Calamus bajonado","BAU",1,"no_CS","no_illegal_fishing",2,NA
"198","MNI Fishery","Calamus bajonado","30% MPA",1,"no_CS","no_illegal_fishing",2,2
"199","MNI Fishery","Calamus bajonado","BAU",1,"CS","no_illegal_fishing",2,NA
"200","MNI Fishery","Calamus bajonado","30% MPA",1,"CS","no_illegal_fishing",2,2
"201","MNI Fishery","Cantherhines macrocerus","BAU",1,"no_CS","illegal_fishing",2,NA
"202","MNI Fishery","Cantherhines macrocerus","30% MPA",1,"no_CS","illegal_fishing",2,NA
"203","MNI Fishery","Cantherhines macrocerus","BAU",1,"CS","illegal_fishing",2,NA
"204","MNI Fishery","Cantherhines macrocerus","30% MPA",1,"CS","illegal_fishing",2,NA
"205","MNI Fishery","Cantherhines macrocerus","BAU",1,"no_CS","no_illegal_fishing",2,NA
"206","MNI Fishery","Cantherhines macrocerus","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"207","MNI Fishery","Cantherhines macrocerus","BAU",1,"CS","no_illegal_fishing",2,NA
"208","MNI Fishery","Cantherhines macrocerus","30% MPA",1,"CS","no_illegal_fishing",2,NA
"209","MNI Fishery","Canthidermis sufflamen","BAU",1,"no_CS","illegal_fishing",2,NA
"210","MNI Fishery","Canthidermis sufflamen","30% MPA",1,"no_CS","illegal_fishing",2,NA
"211","MNI Fishery","Canthidermis sufflamen","BAU",1,"CS","illegal_fishing",2,NA
"212","MNI Fishery","Canthidermis sufflamen","30% MPA",1,"CS","illegal_fishing",2,NA
"213","MNI Fishery","Canthidermis sufflamen","BAU",1,"no_CS","no_illegal_fishing",2,NA
