"","Fishery","Country","Site","Species","Scientific","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_low","f0_total_expected","f0_total_high","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"47","MNI Fishery","Montserrat","MNI","Black durgeon","Melichthys niger",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0384279911262673,0.0384279911262673,0.0384279911262673,1261.88768642217,1261.88768642217,1261.88768642217,0.595752539741193,0.595752539741193,0.595752539741193,5.45187979046667,5.45187979046667,5.45187979046667,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"48","MNI Fishery","Montserrat","MNI","Gulf kingcroaker","Menticirrhus littoralis",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0602773357860228,0.0602773357860228,0.0602773357860228,1909.38934670367,1909.38934670367,1909.38934670367,0.345042562418882,0.345042562418882,0.345042562418882,0.75544011126019,0.75544011126019,0.75544011126019,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"49","MNI Fishery","Montserrat","MNI",NA,"Mullidae",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.052410194258796,0.052410194258796,0.052410194258796,12771.0741381467,12771.0741381467,12771.0741381467,0.363435474597837,0.363435474597837,0.363435474597837,1.20241769510844,1.20241769510844,1.20241769510844,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"50","MNI Fishery","Montserrat","MNI",NA,"Panulirus argus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0381800948070377,0.0381800948070377,0.0381800948070377,5651.68860228055,5651.68860228055,5651.68860228055,0.64009608247512,0.64009608247512,0.64009608247512,2.60640622407227,2.60640622407227,2.60640622407227,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"51","MNI Fishery","Montserrat","MNI","Angelfish","Pomacanthus arcuatus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.013332325642896,0.013332325642896,0.013332325642896,1053.13630601325,1053.13630601325,1053.13630601325,0.518596704091899,0.518596704091899,0.518596704091899,11.3300988388851,11.3300988388851,11.3300988388851,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"52","MNI Fishery","Montserrat","MNI","Angelfish","Pomacanthus paru",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0389032185280284,0.0389032185280284,0.0389032185280284,2946.01637291579,2946.01637291579,2946.01637291579,0.436455128750476,0.436455128750476,0.436455128750476,2.59886106167289,2.59886106167289,2.59886106167289,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"53","MNI Fishery","Montserrat","MNI","Atlantic bigeye","Priacanthus arenatus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.105648345796635,0.105648345796635,0.105648345796635,557.601848048408,557.601848048408,557.601848048408,0.483069725573078,0.483069725573078,0.483069725573078,1.22990429396887,1.22990429396887,1.22990429396887,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"54","MNI Fishery","Montserrat","MNI",NA,"Scaridae",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0720362180545256,0.0720362180545256,0.0720362180545256,938.121164152454,938.121164152454,938.121164152454,0.306961828045235,0.306961828045235,0.306961828045235,7.35149444318915,7.35149444318915,7.35149444318915,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"55","MNI Fishery","Montserrat","MNI","Blue kwab","Scarus coeruleus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0378143673969503,0.0378143673969503,0.0378143673969503,6512.79846886824,6512.79846886824,6512.79846886824,0.405162138639889,0.405162138639889,0.405162138639889,1.90414609762827,1.90414609762827,1.90414609762827,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"56","MNI Fishery","Montserrat","MNI","Dark green parrotfish","Sparisoma viride",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0420859369213592,0.0420859369213592,0.0420859369213592,10882.7935652378,10882.7935652378,10882.7935652378,0.380293052979411,0.380293052979411,0.380293052979411,1.03341966625702,1.03341966625702,1.03341966625702,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"57","MNI Fishery","Montserrat","MNI",NA,"Sphyraenidae",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0606109685647936,0.0606109685647936,0.0606109685647936,4494.93338628198,4494.93338628198,4494.93338628198,0.436377211434756,0.436377211434756,0.436377211434756,2.58647671695036,2.58647671695036,2.58647671695036,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"58","MNI Fishery","Montserrat","MNI",NA,"Squalidade",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0419233438357376,0.0419233438357376,0.0419233438357376,11501.7046459861,11501.7046459861,11501.7046459861,0.388213787280197,0.388213787280197,0.388213787280197,0.52085343717228,0.52085343717228,0.52085343717228,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"59","MNI Fishery","Montserrat","MNI",NA,"Thunnus sp.",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0716125178180897,0.0716125178180897,0.0716125178180897,5584.23851186594,5584.23851186594,5584.23851186594,0.300799962226726,0.300799962226726,0.300799962226726,0.0623491566186222,0.0623491566186222,0.0623491566186222,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
