"","Fishery","Country","Site","Species","Scientific","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_low","f0_total_expected","f0_total_high","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"24","MNI Fishery","Montserrat","MNI","Bodianus rufus","Bodianus rufus",50,1,0.188,0.188,0.188,0.0379194391486745,0.0379194391486745,0.0379194391486745,359.039812489715,359.039812489715,359.039812489715,0.381673243411487,0.381673243411487,0.381673243411487,5.29220263473172,5.29220263473172,5.29220263473172,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"25","MNI Fishery","Montserrat","MNI","Calamus bajonado","Calamus bajonado",50,1,0.188,0.188,0.188,0.0647796882549892,0.0647796882549892,0.0647796882549892,3529.07833673229,3529.07833673229,3529.07833673229,0.882172037361457,0.882172037361457,0.882172037361457,1.33878341656231,1.33878341656231,1.33878341656231,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"26","MNI Fishery","Montserrat","MNI","Cantherhines macrocerus","Cantherhines macrocerus",50,1,0.188,0.188,0.188,0.0378270121465,0.0378270121465,0.0378270121465,465.986122642827,465.986122642827,465.986122642827,0.507064932715729,0.507064932715729,0.507064932715729,7.55205551329288,7.55205551329288,7.55205551329288,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"27","MNI Fishery","Montserrat","MNI","Canthidermis sufflamen","Canthidermis sufflamen",50,1,0.188,0.188,0.188,0.0389399525959281,0.0389399525959281,0.0389399525959281,2547.85507985888,2547.85507985888,2547.85507985888,1.05481718728179,1.05481718728179,1.05481718728179,5.35107069813135,5.35107069813135,5.35107069813135,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"28","MNI Fishery","Montserrat","MNI","Carangoides bartholomaei","Carangoides bartholomaei",50,1,0.188,0.188,0.188,0.104201556573993,0.104201556573993,0.104201556573993,891.520574908682,891.520574908682,891.520574908682,0.396425766603343,0.396425766603343,0.396425766603343,0,0,0,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"29","MNI Fishery","Montserrat","MNI","Caranx latus","Caranx latus",50,1,0.188,0.188,0.188,0.0384415455908519,0.0384415455908519,0.0384415455908519,1544.5526726117,1544.5526726117,1544.5526726117,0.432751098317798,0.432751098317798,0.432751098317798,2.04323143063429,2.04323143063429,2.04323143063429,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"30","MNI Fishery","Montserrat","MNI","Caranx ruber","Caranx ruber",50,1,0.188,0.188,0.188,0.0577312144220577,0.0577312144220577,0.0577312144220577,20165.11094149,20165.11094149,20165.11094149,0.425958691249823,0.425958691249823,0.425958691249823,1.10913368811938,1.10913368811938,1.10913368811938,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"31","MNI Fishery","Montserrat","MNI","Cephalopholis cruentata","Cephalopholis cruentata",50,1,0.188,0.188,0.188,0.0405767985388994,0.0405767985388994,0.0405767985388994,509.106622671496,509.106622671496,509.106622671496,0.311331945139891,0.311331945139891,0.311331945139891,0.777427312225768,0.777427312225768,0.777427312225768,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"32","MNI Fishery","Montserrat","MNI","Cephalopholis fulva","Cephalopholis fulva",50,1,0.188,0.188,0.188,0.0189016139861499,0.0189016139861499,0.0189016139861499,39344.5855848714,39344.5855848714,39344.5855848714,0.405941518880437,0.405941518880437,0.405941518880437,2.10342188414166,2.10342188414166,2.10342188414166,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"33","MNI Fishery","Montserrat","MNI","Epinephelus adscensionis","Epinephelus adscensionis",50,1,0.188,0.188,0.188,0.0169301003077281,0.0169301003077281,0.0169301003077281,10684.2707020705,10684.2707020705,10684.2707020705,0.300366999030738,0.300366999030738,0.300366999030738,0.506146297243075,0.506146297243075,0.506146297243075,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
