,common_name,id10,scientific_name,new_id
388,redfin parrotfish,SCARRU,Sparisoma rubripinne,SCARRU
389,princess parrotfish,SCARTA,Scarus taeniopterus,SCARTA
390,queen parrtofish,SCARVE,Scarus vetula,SCARVE
392,stoplight parrotfish,SCARVI,Sparisoma viride,SCARVI
394,drums,SCIA,Sciaenidae,SCIA
395,jackknife-fish,SCIALA,Equetus lanceolatus,SCIALA
398,gulf kingfish,SCIALI,Menticirrhus littoralis,SCIALI
399,gulf kingfish,SCIALU,Menticirrhus littoralis,SCIALI
400,spotted drum,SCIAPU,Equetus punctatus,SCIAPU
401,striped croaker,SCIASA,Bairdiella sanctaeluciae,SCIASA
402,mackerels & tunas,SCOM,Scombridae,SCOM
403,albacore tuna,SCOMAA,Thunnus alalunga,SCOMAA
404,yellowfin tuna,SCOMAB,Thunnus albacares,SCOMAB
405,little tunny,SCOMAL,Euthynnus alletteratus,SCOMAL
406,blackfin tuna,SCOMAT,Thunnus atlanticus,SCOMAT
407,tuna,SCOMBI,Thunnus sp.,SCOMT
408,spanish mackeral,SCOMBR,Scomber brasiliens,SCOMBR
409,king mackeral,SCOMCA,Scomberomorus cavalla,SCOMCA
410,tuna,SCOMF,Thunnus sp.,SCOMT
411,spanish mackerel,SCOMMA,Scomberomorus maculatus,SCOMMA
413,skipjack tuna,SCOMPE,Katsuwonus pelamis,SCOMPE
414,ceco makeral,SCOMRE,Scomberomorus regalis,SCOMRE
422,atlantic bonito,SCOMSA,Sarda sarda,SCOMSA
423,wahoo,SCOMSO,Acanthocybium solandri,SCOMSO
425,tuna,SCOMT,Thunnus sp.,SCOMT
428,bluefin tuna,SCOMTH,Thunnus thynnus,SCOMTH
429,slipper lobster,SCYL,Scyllaridae,SCYL
430,sculp slipper,SCYLAN,Parribacus antarcticus,SCYLAN
431,coney,SERFFU,Cephalopholis fulva,SERRFU
433,sea basses,SERR,Serranidae,SERR
434,rock hind,SERRAD,Epinephelus adscensionis,SERRAD
436,black grouper,SERRBO,Mycteroperca bonaci,SERRBO
438,graysby,SERRCR,Epinephelus cruentatus,SERRCR
442,groupers g:dermatolep,SERRD,Dermatolepis  spp,SERRD
443,"groupers,g:epin.",SERRE,Epinephelus  spp,SERRE
445,red hind,SERRFGU,Epinephelus guttatus,SERRGU
446,coney,SERRFI,Cephalopholis fulva,SERRFU
447,creole fish,SERRFR,Paranthias furcifer,SERRFR
458,red grouper,SERRMO,Epinephelus morio,SERRMO
460,nassau grouper,SERRSF,Epinephelus striatus,SERRST
462,nassau grouper,SERRST,Epinephelus striatus,SERRST
466,tiger grouper,SERRTI,Mycteroperca tigris,SERRTI
467,yellowfin grouper,SERRVE,Mycteroperca venenosa,SERRVE
