"","species","management","time","biomass","harvest1","profit1","BvBMSY","FvFMSY1","FvFMSYtotal"
"3204","Epinephelus adscensionis","30% MPA",2,1317.74838400192,7.90434936861867,173.895686109611,0.308352447535041,0.354302408070153,0.354302408070153
"3205","Epinephelus adscensionis","BAU",3,1352.31350882355,11.5881199426616,254.938638738555,0.316440669055553,0.506146297243075,0.506146297243075
"3206","Epinephelus adscensionis","30% MPA",3,1355.70108712438,8.13200392589642,178.904086369721,0.317233360644449,0.354302408070153,0.354302408070153
"3207","Epinephelus adscensionis","BAU",4,1387.30896395966,11.8879997626289,261.535994777835,0.324629587649444,0.506146297243075,0.506146297243075
"3208","Epinephelus adscensionis","30% MPA",4,1394.22308663424,8.3630733365672,183.987613404478,0.326247488817185,0.354302408070153,0.354302408070153
"3209","Epinephelus adscensionis","BAU",5,1422.72552565592,12.1914880900138,268.212737980303,0.332917044962918,0.506146297243075,0.506146297243075
"3210","Epinephelus adscensionis","30% MPA",5,1433.30531200344,8.59750319219946,189.145070228388,0.335392709554325,0.354302408070153,0.354302408070153
"3211","Epinephelus adscensionis","BAU",6,1458.55363044812,12.4985029744628,274.967065438181,0.341300803150249,0.506146297243075,0.506146297243075
"3212","Epinephelus adscensionis","30% MPA",6,1472.93818833736,8.83523605898181,194.3751932976,0.344666782335431,0.354302408070153,0.354302408070153
"3213","Epinephelus adscensionis","BAU",7,1494.78338815047,12.8089596659097,281.797112650014,0.349778547913019,0.506146297243075,0.506146297243075
"3214","Epinephelus adscensionis","30% MPA",7,1513.1116494522,9.07621155616582,199.676654235648,0.354067351678642,0.354302408070153,0.354302408070153
"3215","Epinephelus adscensionis","BAU",8,1531.40459531988,13.1227707299532,288.70095605897,0.358347891650768,0.506146297243075,0.506146297243075
"3216","Epinephelus adscensionis","30% MPA",8,1553.81515182735,9.32036643975786,205.048061674673,0.363591950405532,0.354302408070153,0.354302408070153
"3217","Epinephelus adscensionis","BAU",9,1568.40674915799,13.4398461669839,295.676615673647,0.367006376714054,0.506146297243075,0.506146297243075
"3218","Epinephelus adscensionis","30% MPA",9,1595.03768938811,9.56763469119119,210.487963206206,0.373238003100252,0.354302408070153,0.354302408070153
"3219","Epinephelus adscensionis","BAU",10,1605.77906181177,13.7600935347288,302.722057764035,0.375751478750787,0.506146297243075,0.506146297243075
