"","scenarios","Year","Biomass","relative"
"210","scen1",126,0.000629785759358642,3.58840049644843e-09
"211","scen2",126,0.0181692051090682,1.03524704496097e-07
"212","scen3",126,0.0589526016592861,3.35900807405587e-07
"213","scen4",126,0.153178561619987,8.72782558821566e-07
"214","scen5",126,0.27239293076608,1.55204355364507e-06
"215","scen6",126,0.368195923337361,2.09791093949089e-06
"216","scen7",126,0.512196514950258,2.91839915592629e-06
"217","",127,0.000543402279696933,3.09620371889872e-09
"218","scen1",127,0.000543402279696933,3.09620371889872e-09
"219","scen2",127,0.018387407808186,1.04767982328607e-07
"220","scen3",127,0.0622171317642949,3.54501484342795e-07
"221","scen4",127,0.166761770861442,9.50177123657451e-07
"222","scen5",127,0.296167935952458,1.68750904988103e-06
"223","scen6",127,0.406059987968958,2.31365323963427e-06
"224","scen7",127,0.573064253965819,3.26521205484538e-06
"225","",128,0.000468867443250871,2.67151827606158e-09
"226","scen1",128,0.000468867443250871,2.67151827606158e-09
"227","scen2",128,0.0186135687372594,1.06056604654698e-07
"228","scen3",128,0.0656627233092622,3.74133815221649e-07
"229","scen4",128,0.181529486780242,1.03432078417527e-06
"230","scen5",128,0.322380635547533,1.83686406917523e-06
"231","scen6",128,0.448187573889395,2.5536882800979e-06
"232","scen7",128,0.641522839175909,3.65527616395483e-06
"233","",129,0.000404556049978006,2.30508408456342e-09
"234","scen1",129,0.000404556049978006,2.30508408456342e-09
"235","scen2",129,0.018845306169919,1.07377000846648e-07
"236","scen3",129,0.0692937444708792,3.94822689089217e-07
"237","scen4",129,0.197582763680125,1.12578932874164e-06
"238","scen5",129,0.351524779607128,2.00292190623797e-06
"239","scen6",129,0.495279300421161,2.82200805766368e-06
"240","scen7",129,0.718718141949533,4.0951204422352e-06
"241","",130,0.000349065817950051,1.9889112064089e-09
"242","scen1",130,0.000349065817950051,1.9889112064089e-09
"243","scen2",130,0.0190807995392614,1.0871879765755e-07
"244","scen3",130,0.0731181686693625,4.16613536990323e-07
"245","scen4",130,0.215041200942609,1.22526421207929e-06
"246","scen5",130,0.3839286432336,2.18755301069879e-06
"247","scen6",130,0.547919879284947,3.12194414945544e-06
"248","scen7",130,0.805774526050324,4.59115130238742e-06
